index	count	dset	type
http://bio2rdf.org/drugbank:DB04272	403	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB04572	82	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB04843	98	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00189	81	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00199	423	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00200	180	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00205	170	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00248	219	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00254	404	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00257	258	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00273	441	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00313	815	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00314	122	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00316	730	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00356	189	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00375	137	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00404	300	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00422	690	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00440	527	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00449	137	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00490	330	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00512	270	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00521	140	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00593	175	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00601	285	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00604	234	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00606	114	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00610	148	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00640	250	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00661	604	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00668	486	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00674	395	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00683	372	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00696	271	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00703	175	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00705	297	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00723	160	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00770	184	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00816	175	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00819	245	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00822	163	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00829	391	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00841	183	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00867	143	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00884	209	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00889	170	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00898	829	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00900	196	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00907	316	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00908	418	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00933	167	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00937	164	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00951	755	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00983	205	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00989	249	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01021	124	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01037	261	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01045	787	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01049	230	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01063	160	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01064	216	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01095	475	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01101	788	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01114	385	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01119	205	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01124	346	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01136	647	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01144	127	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01148	132	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01151	606	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01156	501	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01176	123	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01193	269	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01195	393	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01196	118	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01200	278	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01201	196	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01204	227	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01210	140	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01211	430	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01214	124	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01233	439	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01239	180	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01240	158	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01242	636	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01253	193	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01285	92	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01294	160	3-PharmGKB	Drug
