index	count	dset	type
http://bio2rdf.org/drugbank:DB04572	82	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB04843	98	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00189	81	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00199	423	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00200	180	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00205	170	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00248	219	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00254	404	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00257	258	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00273	441	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00313	815	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00314	122	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00316	730	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00356	189	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00375	137	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00404	300	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00422	690	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00440	527	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00449	137	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00490	330	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00512	270	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00521	140	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00593	175	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00601	285	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00604	234	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00606	114	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00610	148	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00640	250	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00661	604	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00668	486	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00674	395	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00683	372	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00696	271	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00703	175	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00705	297	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00723	160	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00770	184	3-PharmGKB	Drug
